,Participant_ID,Starting_Plateau_Idx,Block,Cycle_Idx,Stages,Directions,Phase,Pentagon_selected,Star_selected,Response,Response_time,Correctness,spu_elements_percentage,Selection,Condition_Name
83,1,0,1,83,T1,star_to_pentagon,star_to_pentagon_trans,0,1,2,1059,1,0.933333333333333,0,Lab
84,1,0,1,84,T2,star_to_pentagon,star_to_pentagon_trans,1,0,3,797,1,0.866666666666667,1,Lab
85,1,0,1,85,T3,star_to_pentagon,star_to_pentagon_trans,0,1,2,811,1,0.8,0,Lab
86,1,0,1,86,T4,star_to_pentagon,star_to_pentagon_trans,1,0,1,1020,1,0.733333333333333,1,Lab
87,1,0,1,87,T5,star_to_pentagon,star_to_pentagon_trans,0,1,3,1113,1,0.666666666666667,0,Lab
88,1,0,1,88,T6,star_to_pentagon,star_to_pentagon_trans,0,1,1,1452,1,0.6,0,Lab
89,1,0,1,89,T7,star_to_pentagon,star_to_pentagon_trans,0,1,1,834,1,0.533333333333333,0,Lab
90,1,0,1,90,T8,star_to_pentagon,star_to_pentagon_trans,1,0,4,2281,1,0.466666666666667,1,Lab
91,1,0,1,91,T9,star_to_pentagon,star_to_pentagon_trans,1,0,2,969,1,0.4,1,Lab
92,1,0,1,92,T10,star_to_pentagon,star_to_pentagon_trans,1,0,2,1006,1,0.333333333333333,1,Lab
93,1,0,1,93,T11,star_to_pentagon,star_to_pentagon_trans,0,1,2,781,1,0.266666666666667,0,Lab
94,1,0,1,94,T12,star_to_pentagon,star_to_pentagon_trans,0,1,2,855,1,0.2,0,Lab
95,1,0,1,95,T13,star_to_pentagon,star_to_pentagon_trans,1,0,3,1617,1,0.133333333333333,1,Lab
96,1,0,1,96,P1,pentagon_to_star,pentagon_plateau,1,0,1,1748,1,0.066666666666667,1,Lab
97,1,0,1,97,P2,pentagon_to_star,pentagon_plateau,0,1,1,1038,1,0.066666666666667,0,Lab
98,1,0,1,98,P3,pentagon_to_star,pentagon_plateau,0,0,3,335,0,0.066666666666667,0,Lab
99,1,1,2,0,P1,star_to_pentagon,star_plateau,1,0,4,972,1,0.066666666666667,1,Lab
100,1,1,2,1,P2,star_to_pentagon,star_plateau,0,1,1,1441,1,0.066666666666667,0,Lab
101,1,1,2,2,P3,star_to_pentagon,star_plateau,1,0,1,888,1,0.066666666666667,1,Lab
102,1,1,2,3,T1,star_to_pentagon,star_to_pentagon_trans,1,0,4,1450,1,0.133333333333333,1,Lab
103,1,1,2,4,T2,star_to_pentagon,star_to_pentagon_trans,0,1,1,638,1,0.2,0,Lab
104,1,1,2,5,T3,star_to_pentagon,star_to_pentagon_trans,1,0,4,934,1,0.266666666666667,1,Lab
105,1,1,2,6,T4,star_to_pentagon,star_to_pentagon_trans,1,0,2,981,1,0.333333333333333,1,Lab
106,1,1,2,7,T5,star_to_pentagon,star_to_pentagon_trans,1,0,3,1375,1,0.4,1,Lab
107,1,1,2,8,T6,star_to_pentagon,star_to_pentagon_trans,1,0,1,719,1,0.466666666666667,1,Lab
108,1,1,2,9,T7,star_to_pentagon,star_to_pentagon_trans,1,0,3,1210,1,0.533333333333333,1,Lab
109,1,1,2,10,T8,star_to_pentagon,star_to_pentagon_trans,1,0,3,868,1,0.6,1,Lab
110,1,1,2,11,T9,star_to_pentagon,star_to_pentagon_trans,0,1,1,810,1,0.666666666666667,0,Lab
111,1,1,2,12,T10,star_to_pentagon,star_to_pentagon_trans,0,1,3,657,1,0.733333333333333,0,Lab
112,1,1,2,13,T11,star_to_pentagon,star_to_pentagon_trans,0,1,2,783,1,0.8,0,Lab
113,1,1,2,14,T12,star_to_pentagon,star_to_pentagon_trans,0,1,2,1350,1,0.866666666666667,0,Lab
114,1,1,2,15,T13,star_to_pentagon,star_to_pentagon_trans,1,0,2,1116,1,0.933333333333333,1,Lab
115,1,1,2,16,P1,pentagon_to_star,pentagon_plateau,1,0,3,840,1,1,1,Lab
116,1,1,2,17,P2,pentagon_to_star,pentagon_plateau,1,0,1,1393,1,1,1,Lab
