,Participant_ID,Condition_Name,Starting_Plateau_Idx,Cycle_Idx,Decline_First_Selection
223,1,Bergmann Colored vs. Gray,1,21,0.0
224,1,Bergmann Colored vs. Gray,1,22,1.0
225,1,Bergmann Colored vs. Gray,1,23,0.0
226,1,Bergmann Colored vs. Gray,1,24,0.0
227,1,Bergmann Colored vs. Gray,1,26,1.0
228,1,Bergmann Colored vs. Gray,1,27,1.0
229,1,Bergmann Colored vs. Gray,1,28,0.0
230,1,Bergmann Colored vs. Gray,1,29,0.0
231,1,Bergmann Colored vs. Gray,1,30,0.0
232,1,Bergmann Colored vs. Gray,1,31,0.0
233,1,Bergmann Colored vs. Gray,1,0,0.0
234,1,Bergmann Colored vs. Gray,1,1,0.0
235,1,Bergmann Colored vs. Gray,1,2,1.0
236,1,Bergmann Colored vs. Gray,1,3,0.0
237,1,Bergmann Colored vs. Gray,1,4,1.0
238,1,Bergmann Colored vs. Gray,1,5,0.0
239,1,Bergmann Colored vs. Gray,1,6,1.0
240,1,Bergmann Colored vs. Gray,1,7,0.0
241,1,Bergmann Colored vs. Gray,1,8,0.0
242,1,Bergmann Colored vs. Gray,1,9,1.0
243,1,Bergmann Colored vs. Gray,1,10,1.0
244,1,Bergmann Colored vs. Gray,1,11,0.0
245,1,Bergmann Colored vs. Gray,1,12,0.0
246,1,Bergmann Colored vs. Gray,1,13,1.0
247,1,Bergmann Colored vs. Gray,1,14,1.0
248,1,Bergmann Colored vs. Gray,1,15,1.0
249,1,Bergmann Colored vs. Gray,1,16,1.0
250,1,Bergmann Colored vs. Gray,1,17,1.0
251,1,Bergmann Colored vs. Gray,1,18,0.0
252,1,Bergmann Colored vs. Gray,1,19,1.0
253,1,Bergmann Colored vs. Gray,1,20,1.0
254,1,Bergmann Colored vs. Gray,1,21,1.0
255,1,Bergmann Colored vs. Gray,1,22,1.0
256,1,Bergmann Colored vs. Gray,1,23,1.0
257,1,Bergmann Colored vs. Gray,1,24,1.0
258,1,Bergmann Colored vs. Gray,1,25,0.0
259,1,Bergmann Colored vs. Gray,1,26,1.0
260,1,Bergmann Colored vs. Gray,1,27,1.0
261,1,Bergmann Colored vs. Gray,1,29,0.0
262,1,Bergmann Colored vs. Gray,1,30,0.0
263,1,Bergmann Colored vs. Gray,1,31,1.0
264,1,Bergmann Colored vs. Gray,1,0,0.0
265,1,Bergmann Colored vs. Gray,1,1,0.0
266,1,Bergmann Colored vs. Gray,1,2,1.0
267,1,Bergmann Colored vs. Gray,1,3,0.0
268,1,Bergmann Colored vs. Gray,1,4,0.0
269,1,Bergmann Colored vs. Gray,1,6,0.0
270,1,Bergmann Colored vs. Gray,1,7,0.0
271,1,Bergmann Colored vs. Gray,1,8,1.0
272,1,Bergmann Colored vs. Gray,1,9,0.0
273,1,Bergmann Colored vs. Gray,1,11,0.0
274,1,Bergmann Colored vs. Gray,1,12,0.0
275,1,Bergmann Colored vs. Gray,1,13,0.0
276,1,Bergmann Colored vs. Gray,1,15,1.0
277,1,Bergmann Colored vs. Gray,1,16,0.0
278,1,Bergmann Colored vs. Gray,1,17,0.0
279,1,Bergmann Colored vs. Gray,1,18,1.0
280,1,Bergmann Colored vs. Gray,1,19,1.0
281,1,Bergmann Colored vs. Gray,1,20,1.0
282,1,Bergmann Colored vs. Gray,1,22,0.0
283,1,Bergmann Colored vs. Gray,1,23,0.0
284,1,Bergmann Colored vs. Gray,1,24,1.0
285,1,Bergmann Colored vs. Gray,1,25,1.0
286,1,Bergmann Colored vs. Gray,1,26,0.0
287,1,Bergmann Colored vs. Gray,1,27,1.0
288,1,Bergmann Colored vs. Gray,1,28,0.0
289,1,Bergmann Colored vs. Gray,1,29,1.0
290,1,Bergmann Colored vs. Gray,1,31,0.0
291,1,Bergmann Colored vs. Gray,1,0,1.0
292,1,Bergmann Colored vs. Gray,1,2,1.0
293,1,Bergmann Colored vs. Gray,1,3,1.0
294,1,Bergmann Colored vs. Gray,1,4,0.0
295,1,Bergmann Colored vs. Gray,1,5,1.0
296,1,Bergmann Colored vs. Gray,1,6,1.0
297,1,Bergmann Colored vs. Gray,1,7,1.0
298,1,Bergmann Colored vs. Gray,1,8,1.0
299,1,Bergmann Colored vs. Gray,1,9,0.0
300,1,Bergmann Colored vs. Gray,1,10,0.0
