,Participant_ID,Starting_Plateau_Idx,Block,Cycle_Idx,Stages,Directions,Phase,Pentagon_selected,Star_selected,Response,Response_time,Correctness,Condition_Name,Selection
152,56,1,2,53,T3,pentagon_to_star,pentagon_to_star_trans,0,1,1,836,1,Online,0
153,56,1,2,54,T4,pentagon_to_star,pentagon_to_star_trans,0,1,1,805,1,Online,0
154,56,1,2,55,T5,pentagon_to_star,pentagon_to_star_trans,1,0,3,1149,1,Online,1
155,56,1,2,56,T6,pentagon_to_star,pentagon_to_star_trans,1,0,2,1218,1,Online,1
156,56,1,2,57,T7,pentagon_to_star,pentagon_to_star_trans,1,0,2,900,1,Online,1
157,56,1,2,58,T8,pentagon_to_star,pentagon_to_star_trans,0,1,2,1010,1,Online,0
158,56,1,2,59,T9,pentagon_to_star,pentagon_to_star_trans,0,0,2,986,0,Online,0
159,56,1,2,60,T10,pentagon_to_star,pentagon_to_star_trans,0,0,4,1278,0,Online,0
160,56,1,2,61,T11,pentagon_to_star,pentagon_to_star_trans,0,1,1,1173,1,Online,0
161,56,1,2,62,T12,pentagon_to_star,pentagon_to_star_trans,0,1,1,720,1,Online,0
162,56,1,2,63,T13,pentagon_to_star,pentagon_to_star_trans,0,1,2,871,1,Online,0
163,56,1,2,64,P1,star_to_pentagon,star_plateau,1,0,3,964,1,Online,1
164,56,1,2,65,P2,star_to_pentagon,star_plateau,0,0,3,648,0,Online,0
165,56,1,2,66,P3,star_to_pentagon,star_plateau,1,0,4,945,1,Online,1
166,56,1,2,67,T1,star_to_pentagon,star_to_pentagon_trans,0,0,2,765,0,Online,0
167,56,1,2,68,T2,star_to_pentagon,star_to_pentagon_trans,0,0,3,1240,0,Online,0
168,56,1,2,69,T3,star_to_pentagon,star_to_pentagon_trans,0,0,1,1137,0,Online,0
169,56,1,2,70,T4,star_to_pentagon,star_to_pentagon_trans,0,0,2,1126,0,Online,0
170,56,1,2,71,T5,star_to_pentagon,star_to_pentagon_trans,0,0,4,1371,0,Online,0
171,56,1,2,72,T6,star_to_pentagon,star_to_pentagon_trans,0,0,3,854,0,Online,0
172,56,1,2,73,T7,star_to_pentagon,star_to_pentagon_trans,0,1,4,926,1,Online,0
173,56,1,2,74,T8,star_to_pentagon,star_to_pentagon_trans,1,0,4,1083,1,Online,1
174,56,1,2,75,T9,star_to_pentagon,star_to_pentagon_trans,0,0,4,1026,0,Online,0
175,56,1,2,76,T10,star_to_pentagon,star_to_pentagon_trans,0,0,1,971,0,Online,0
176,56,1,2,77,T11,star_to_pentagon,star_to_pentagon_trans,1,0,2,902,1,Online,1
177,56,1,2,78,T12,star_to_pentagon,star_to_pentagon_trans,0,0,4,1061,0,Online,0
178,56,1,2,79,T13,star_to_pentagon,star_to_pentagon_trans,0,0,1,1627,0,Online,0
179,56,1,2,80,P1,pentagon_to_star,pentagon_plateau,0,0,2,3437,0,Online,0
180,56,1,2,81,P2,pentagon_to_star,pentagon_plateau,0,0,1,1814,0,Online,0
181,56,1,2,82,P3,pentagon_to_star,pentagon_plateau,0,1,3,1919,1,Online,0
182,56,1,2,83,T1,pentagon_to_star,pentagon_to_star_trans,0,0,3,1549,0,Online,0
183,56,1,2,84,T2,pentagon_to_star,pentagon_to_star_trans,0,0,4,1649,0,Online,0
184,56,1,2,85,T3,pentagon_to_star,pentagon_to_star_trans,1,0,2,1352,1,Online,1
185,56,1,2,86,T4,pentagon_to_star,pentagon_to_star_trans,0,0,1,1277,0,Online,0
186,56,1,2,87,T5,pentagon_to_star,pentagon_to_star_trans,0,1,2,972,1,Online,0
187,56,1,2,88,T6,pentagon_to_star,pentagon_to_star_trans,0,0,2,1334,0,Online,0
188,56,1,2,89,T7,pentagon_to_star,pentagon_to_star_trans,0,0,3,1052,0,Online,0
189,56,1,2,90,T8,pentagon_to_star,pentagon_to_star_trans,0,0,4,1739,0,Online,0
190,56,1,2,91,T9,pentagon_to_star,pentagon_to_star_trans,0,0,3,911,0,Online,0
191,56,1,2,92,T10,pentagon_to_star,pentagon_to_star_trans,0,0,2,1357,0,Online,0
192,56,1,2,93,T11,pentagon_to_star,pentagon_to_star_trans,0,1,4,1041,1,Online,0
193,56,1,2,94,T12,pentagon_to_star,pentagon_to_star_trans,0,0,1,1234,0,Online,0
194,56,1,2,95,T13,pentagon_to_star,pentagon_to_star_trans,0,0,4,906,0,Online,0
195,56,1,2,96,P1,star_to_pentagon,star_plateau,0,0,2,872,0,Online,0
196,56,1,2,97,P2,star_to_pentagon,star_plateau,0,1,1,744,1,Online,0
