,optimal_selected_optimal_first_fixation,optimal_selected_nonoptimal_first_fixation,nonoptimal_selected_nonoptimal_first_fixation,nonoptimal_selected_optimal_first_fixation,optimal_selected_optimal_last_fixation,optimal_selected_nonoptimal_last_fixation,nonoptimal_selected_nonoptimal_last_fixation,nonoptimal_selected_optimal_last_fixation,optimal_selected_optimal_total_fixation,optimal_selected_nonoptimal_total_fixation,nonoptimal_selected_nonoptimal_total_fixation,nonoptimal_selected_optimal_total_fixation
10,0.5967741935483871,0.4032258064516129,0.4838709677419355,0.5161290322580645,0.5645161290322581,0.43548387096774194,0.5806451612903226,0.41935483870967744,2.661290322580645,1.3064516129032258,3.0,1.7096774193548387
11,0.5357142857142857,0.4642857142857143,0.5945945945945946,0.40540540540540543,0.6428571428571429,0.35714285714285715,0.7567567567567568,0.24324324324324326,2.125,1.3392857142857142,2.27027027027027,1.0
12,0.64,0.34,0.7209302325581395,0.27906976744186046,0.76,0.24,0.7441860465116279,0.2558139534883721,2.02,0.72,2.441860465116279,0.8604651162790697
13,0.4489795918367347,0.5102040816326531,0.4772727272727273,0.5227272727272727,0.5510204081632653,0.4489795918367347,0.5227272727272727,0.4772727272727273,2.1020408163265305,1.4489795918367347,2.227272727272727,1.4090909090909092
14,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.3111111111111111,0.75,0.25,0.6444444444444445,0.35555555555555557,2.5208333333333335,1.0625,2.1777777777777776,0.9555555555555556
15,0.5625,0.4375,0.8222222222222222,0.17777777777777778,0.5416666666666666,0.4583333333333333,0.6,0.4,1.8541666666666667,1.2916666666666667,2.0444444444444443,0.8666666666666667
16,0.576271186440678,0.423728813559322,0.4411764705882353,0.5588235294117647,0.6101694915254238,0.3898305084745763,0.5294117647058824,0.47058823529411764,2.389830508474576,1.0169491525423728,2.411764705882353,1.7058823529411764
17,0.5192307692307693,0.4423076923076923,0.5853658536585366,0.3902439024390244,0.6153846153846154,0.38461538461538464,0.6097560975609756,0.3902439024390244,2.519230769230769,1.3076923076923077,2.8780487804878048,1.024390243902439
18,0.48,0.5,0.6511627906976745,0.3488372093023256,0.78,0.22,0.7674418604651163,0.23255813953488372,2.04,0.86,2.046511627906977,0.7209302325581395
19,0.5862068965517241,0.41379310344827586,0.37142857142857144,0.6285714285714286,0.6724137931034483,0.3275862068965517,0.6,0.4,2.3620689655172415,1.1724137931034482,2.3142857142857145,1.457142857142857
20,0.4603174603174603,0.5238095238095238,0.26666666666666666,0.7333333333333333,0.4444444444444444,0.5555555555555556,0.36666666666666664,0.6333333333333333,2.6031746031746033,1.9365079365079365,2.3,2.8666666666666667
21,0.7169811320754716,0.24528301886792453,0.7,0.3,0.660377358490566,0.33962264150943394,0.675,0.325,1.9056603773584906,0.7358490566037735,1.875,0.825
22,0.5862068965517241,0.39655172413793105,0.5428571428571428,0.45714285714285713,0.7068965517241379,0.29310344827586204,0.7142857142857143,0.2857142857142857,2.7413793103448274,0.9137931034482759,2.3142857142857145,1.0857142857142856
23,0.5625,0.4375,0.5777777777777777,0.4,0.5416666666666666,0.4583333333333333,0.6666666666666666,0.3333333333333333,2.5416666666666665,1.5208333333333333,2.8,1.1777777777777778
24,0.3958333333333333,0.6041666666666666,0.4888888888888889,0.5111111111111111,0.6458333333333334,0.3541666666666667,0.6,0.4,2.3125,1.2708333333333333,2.7777777777777777,1.1777777777777778
25,0.4418604651162791,0.5581395348837209,0.62,0.38,0.5581395348837209,0.4418604651162791,0.7,0.3,2.697674418604651,1.5813953488372092,2.68,1.02
26,0.5471698113207547,0.4339622641509434,0.525,0.475,0.7547169811320755,0.24528301886792453,0.75,0.25,2.660377358490566,1.4339622641509433,2.15,1.0
27,0.3488372093023256,0.6511627906976745,0.6,0.4,0.6046511627906976,0.3953488372093023,0.6,0.4,2.395348837209302,2.0697674418604652,2.6,1.3
